numb,name,author,performer,Link to the lyrics,YouTube link,Spotify link
26,"Гори , гори",І. Бігун,Андрій Винницький/Астор П'яццола,https://www.pisni.org.ua/songs/731565.html,https://youtu.be/mnFKbJe5sVA?si=NDLtJ-CTm4cUfds9,https://open.spotify.com/track/31KdUAvZgTPi0yAmNM2CBg?si=QBXCwxF3QFOn9t9FEu4vGQ
27,Гупало Василь,,ТНМК,https://www.pisni.org.ua/songs/9297982.html,https://www.youtube.com/watch?v=bTRLhcCNxwM,https://open.spotify.com/track/2K9SnJPD4st9XsLFzIsO80?si=jgyYVIXPTfG3Ho0umC4mpg
28,Гуцулка Ксеня,Ярослав Барнич,Василь Білоцерківський,https://www.pisni.org.ua/songs/428137.html,https://youtu.be/edbb2xzr2UE?si=xDWzWxbaQkSQQW1m,https://open.spotify.com/track/2keMJ2gJyjX1bdGLe0zwLt?si=RM6AR-oZQXue2XX-JYJhxw
29,Довбуш,,,https://www.pisni.org.ua/songs/21369.html,https://www.youtube.com/watch?v=tIFNdL-H2Vw,https://open.spotify.com/track/3tUryqSykZpEcjJDGXkLPr?si=8vkWnUd4RCy-QpwSHifmcQ
30,Дочка мельника,С. Фоменко,Мандри,https://www.pisni.org.ua/songs/91281.html,https://youtu.be/0mTkvyrzr2U?si=FIigrVDnEzY19Rev,https://open.spotify.com/track/2fK0EZfVHjSnGOvfd9VZW3?si=EG_MYpXUQuK_IUS3OWzpiA
31,Еверест,Святослав Вакарчук,Святослав Вакарчук,https://www.pisni.org.ua/songs/8320676.html,https://www.youtube.com/watch?v=8uh_cBLU_tc,https://open.spotify.com/track/4LTfPgwiEGWN80tr0LFWox?autoplay=true
32,Зорі запалали,Без Обмежень,,https://www.pisni.org.ua/songs/2374993.html,https://www.youtube.com/watch?v=Esg-zJ29ReU,https://open.spotify.com/track/5wq5KLGR8bLZ6xxyaGiiWz?si=n16esD--QhyDmtCXzAgAnQ
33,Зродились ми великої години,Олесь Бабій,Тінь Сонця ,https://www.pisni.org.ua/songs/64695.html,https://www.youtube.com/watch?v=RGtPR1rHXh4,https://open.spotify.com/track/3AtM376OSOPwR5vLbgVXxA?si=0U_V8mKGQievqyDtWXNCsA
34,Їжачок,,FliT,https://www.pisni.org.ua/songs/224697.html,https://www.youtube.com/watch?v=VOWmoANve8s,https://open.spotify.com/track/5UxpyVzTZQ4mq0TtjfVme8?si=bQQTTEEhQxG3YhAKKzkmDw
35,Їхав козак за Дунай,,,https://www.pisni.org.ua/songs/224952.html,https://www.youtube.com/watch?v=7iT54oRUUz0,https://open.spotify.com/track/2HP9kbpAWtiubgZodQvhYt?si=z-Bd-1gSRmO7BN58NDyT0g
